중요하지 않습니다,중요하지 않다
나쁘지 않습니다,나쁘지 않다
다르지 않습니다,다르지 않다
되어야 합니다, 되어야 한다
하지 않습니다,하지 않는다
재사용합니다,재사용한다
초기화합니다,초기화한다
주면 됩니다,주면 된다
여야 합니다,여야 한다
해야 합니다,해야 한다
말씀드렸듯이,말했듯이
시작하십시오,시작한다
필요했습니다,필요했다
번역했습니다,번역했다
나타났습니다,나타났다
보여드리는,보여주는
가능합니다,가능하다
간결합니다,간결하다
나타냅니다,나타낸다
도와줍니다,도와준다
돌아갑니다,돌아간다
무방합니다,무방하다
바꿔줍니다,바꿔준다
배포합니다,배포한다
변경합니다,변경한다
복사합니다,복사한다
복잡합니다,복잡하다
복제합니다,복제한다
사용하세요,사용하자
사용합니다,사용한다
생성합니다,생성한다
설정합니다,설정한다
설치됩니다,설치된다
설치합니다,설치한다
수정합니다,수정한다
실행합니다,실행한다
연결합니다,연결한다
유사합니다,유사하다
유용합니다,유용하다
유효합니다,유효하다
우수합니다,우수하다
작동합니다,작동한다
적합합니다,적합하다
참조합니다,참조한다
추가합니다,추가한다
필요합니다,필요하다
호출합니다,호출한다
확인합니다,확인한다
확장합니다,확장한다
면 됩니다,면 된다
보겠습니다,보겠다
하겠습니다,하겠다
넣습니다,넣는다
놓습니다,놓는다
다릅니다,다르다
따릅니다,따른다
만듭니다,만든다
먹습니다,먹는다
바꿉니다,바꾼다
보여드릴,보여줄
바꿉니다,바꾼다
부릅니다,부른다
붙입니다,붙인다
아닙니다,아니다
않습니다,않는다
찾습니다,찾는다
채웁니다,채운다
하십시오.,한다.
 갑니다, 간다
갔습니다,갔다
같습니다,같다
맵습니다,맵다
싶습니다,싶다
없습니다,없다
었습니다,었다
였습니다,였다
웠습니다,웠다
있습니다,있다
좋습니다,좋다
했습니다,했다
보십시오,보라
합니까,하는가
합니다.,한다.
건데요,건데
겁니다,거다
됩니다,된다
썹니다,썬다
씁니다,쓴다
압니다,안다
입니다,이다
줍니다,준다
큽니다,크다
킵니다,킨다
십시오,라
